id,reference_id,amount,currency,date,status,can_cancel
259504488,11903437,935.1,SAR,"2021-03-05 22:27:23.000000","جاري التوصيل",
1062315031,11902900,97,SAR,"2021-03-05 22:12:42.000000","تم الشحن",
1550634749,11902810,85.5,SAR,"2021-03-05 22:10:32.000000","تم التوصيل",
2094503958,11902131,127.8,SAR,"2021-03-05 21:53:33.000000","تم التوصيل",
1301260391,11901892,277,SAR,"2021-03-05 21:47:43.000000","تم الشحن",
87277195,11901232,184.79,SAR,"2021-03-05 21:32:43.000000","تم التوصيل",
1228208498,11900887,179.2,SAR,"2021-03-07 01:01:19.000000","تم التوصيل",
656581663,11900860,107.1,SAR,"2021-03-05 21:24:31.000000","تم التوصيل",
759930421,11900818,93.55,SAR,"2021-03-05 21:23:37.000000","تم التوصيل",
2032667424,11900805,321,SAR,"2021-03-05 21:23:22.000000",مسترجع,
652969948,11900793,97,SAR,"2021-03-05 21:23:06.000000","تم التوصيل",
586884088,11900765,275,SAR,"2021-03-05 21:22:40.000000","تم التوصيل",
2010023322,11899711,495.33,SAR,"2021-03-05 20:58:23.000000","تم التوصيل",
1372512490,1189967,720,SAR,"2019-12-20 13:14:32.000000","تم الشحن",
1212560981,11898866,265,SAR,"2021-03-05 20:39:55.000000","تم التوصيل",
2121865044,11898865,256.99,SAR,"2021-03-05 20:39:55.000000",مسترجع,
958800130,11898791,242.98,SAR,"2021-03-05 20:38:18.000000",مسترجع,
1847208722,11896247,126,SAR,"2021-03-05 19:45:32.000000","تم التوصيل",
1840407083,11896208,95,SAR,"2021-03-05 19:41:09.000000","تم التوصيل",
1391032867,11896200,397.99,SAR,"2021-03-05 19:41:02.000000","تم التوصيل",
1883021780,11896177,134,SAR,"2021-03-05 19:40:38.000000","تم التوصيل",
1470822010,11895519,166,SAR,"2021-03-05 19:26:31.000000","تم التوصيل",
763408743,11895492,100.75,SAR,"2021-03-05 19:25:57.000000","تم التوصيل",
1899405373,11894170,199,SAR,"2021-03-05 18:54:41.000000","تم التوصيل",
264426057,11892718,176.6,SAR,"2021-03-05 18:15:31.000000","تم التوصيل",
2024958242,11892615,254.6,SAR,"2021-03-05 18:12:49.000000","تم التوصيل",
1560816416,11892613,107.1,SAR,"2021-03-05 18:12:46.000000","تم التوصيل",
958924963,11892488,134,SAR,"2021-03-05 18:09:28.000000",ملغي,
66472737,11892358,114,SAR,"2021-03-05 18:05:38.000000","تم التوصيل",
1584933005,11892010,183,SAR,"2021-03-05 17:56:33.000000",مسترجع,
1554370583,11891636,117,SAR,"2021-03-05 17:46:37.000000","تم التوصيل",
1658186542,11891083,114,SAR,"2021-03-05 17:31:36.000000","تم التوصيل",
1770710971,11890720,127,SAR,"2021-03-05 17:22:28.000000","تم الشحن",
67895816,11888813,457.5,SAR,"2021-03-05 16:33:29.000000","تم الشحن",
1368182449,11887382,115,SAR,"2021-03-05 15:56:45.000000","تم التوصيل",
89851637,11886418,233,SAR,"2021-03-05 15:32:52.000000","تم التوصيل",
1821510597,11885154,147.6,SAR,"2021-03-05 15:00:44.000000","تم الشحن",
1238595593,1188270,172,SAR,"2019-12-19 10:30:21.000000","تم الشحن",
107478029,1188266,388,SAR,"2019-12-19 10:28:12.000000","تم الشحن",
65207011,11879752,85.5,SAR,"2021-03-05 12:09:43.000000","تم التوصيل",
2027663628,11877801,200.5,SAR,"2021-03-05 10:17:14.000000","تم التوصيل",
1242732167,11877668,97,SAR,"2021-03-05 10:07:13.000000","تم الشحن",
148000925,11873594,102.5,SAR,"2021-03-05 04:34:04.000000","تم التوصيل",
1962032664,11873469,91.55,SAR,"2021-03-05 04:27:17.000000","تم التوصيل",
1464438224,11871605,0,SAR,"2021-03-05 03:07:50.000000","تم التوصيل",
1201291015,11871396,0,SAR,"2021-03-05 03:01:10.000000","تم التوصيل",
2078999574,11870387,95,SAR,"2021-03-05 02:23:05.000000","تم التوصيل",
1865792713,11869550,197,SAR,"2021-03-05 01:58:26.000000","تم الشحن",
1802770652,11867769,241.5,SAR,"2021-03-05 01:11:15.000000","تم التوصيل",
631867424,1186437,107,SAR,"2019-12-18 22:07:04.000000","تم التوصيل",
1108598240,11863365,51.59,SAR,"2021-03-04 23:25:13.000000","تم التوصيل",
