id,reference_id,amount,currency,date,status,can_cancel
1737247298,26228455,239.59,SAR,"2021-11-15 20:33:43.000000","تم التوصيل",
484831839,26216956,186,SAR,"2021-11-15 16:18:20.000000",ملغي,
432253674,26177103,39.64,SAR,"2021-11-14 17:48:19.000000","تم التوصيل",
403970036,26160977,127,SAR,"2021-11-14 08:32:03.000000",ملغي,
1945548451,26065160,249.14,SAR,"2021-11-12 00:41:53.000000","تم التوصيل",
902711969,26015494,99.75,SAR,"2021-11-11 00:01:57.000000","تم التوصيل",
587079455,25963708,77,SAR,"2021-11-09 23:59:27.000000","جاري التوصيل",
2024657989,25887202,123.06,SAR,"2021-11-08 19:04:37.000000","تم التوصيل",
1223633280,25745701,117.24,SAR,"2021-11-06 01:21:28.000000","تم التوصيل",
319653675,25714832,616.92,SAR,"2021-11-05 13:57:26.000000","تم التوصيل",
949902073,25661278,161.86,SAR,"2021-11-04 15:30:23.000000","تم التوصيل",
1030040391,25557220,229.76,SAR,"2021-11-02 22:11:32.000000","تم التوصيل",
363520561,25345942,124.03,SAR,"2021-10-30 17:18:47.000000","تم التوصيل",
745484065,25203334,124.03,SAR,"2021-10-28 15:11:38.000000","جاري التوصيل",
335095616,24906725,220.06,SAR,"2021-10-23 12:39:17.000000","تم التنفيذ",
506849377,24877510,98.81,SAR,"2021-10-22 16:10:51.000000","جاري التوصيل",
851392022,24833715,127,SAR,"2021-10-21 09:28:18.000000","تم التوصيل",
189527329,24296582,124.03,SAR,"2021-10-09 13:41:55.000000","تم التنفيذ",
76139682,24286215,143,SAR,"2021-10-09 05:59:01.000000","قيد التنفيذ",
916104178,24272215,39.64,SAR,"2021-10-08 22:31:41.000000","تم التنفيذ",
874022268,24263129,241.39,SAR,"2021-10-08 19:07:45.000000","تم التنفيذ",
753949597,24261178,171.56,SAR,"2021-10-08 18:24:55.000000","تم التنفيذ",
67875932,24242937,94.93,SAR,"2021-10-08 10:30:00.000000","تم التنفيذ",
1253168012,24222505,161.86,SAR,"2021-10-07 20:58:08.000000","تم التنفيذ",
