id,reference_id,amount,currency,date,status,can_cancel
669292648,2605773,397.99,SAR,"2020-05-03 15:03:54.000000","تم الشحن",
867745387,260560,583,SAR,"2019-04-20 17:50:44.000000","تم الشحن",
510006126,260555,215.5,SAR,"2019-04-20 17:46:26.000000","تم الشحن",
691584849,26055414,122.6,SAR,"2021-11-11 20:58:19.000000","جاري التوصيل",
1501186663,260548,390,SAR,"2019-04-20 17:41:48.000000","تم الشحن",
493338077,26054778,61.5,SAR,"2021-11-13 17:12:39.000000","تم الشحن",
408538926,26054027,120.06,SAR,"2021-11-11 20:26:19.000000","تم التوصيل",
484676646,2605187,325,SAR,"2020-05-03 14:12:27.000000","تم الشحن",
1209550378,26051215,171.32,SAR,"2021-11-11 19:22:28.000000","تم التوصيل",
1125081460,26043857,120.06,SAR,"2021-11-11 16:29:06.000000","تم التوصيل",
382373520,26043445,185.61,SAR,"2021-11-11 16:19:15.000000","تم التوصيل",
967703342,26042763,402.21,SAR,"2021-11-11 16:01:24.000000","تم التوصيل",
35572962,26039367,206.2,SAR,"2021-11-11 14:32:37.000000","تم الشحن",
3157255,26031780,533.15,SAR,"2021-11-11 10:49:02.000000","تم التوصيل",
698447145,26031246,45,SAR,"2021-11-11 10:29:21.000000","تم التوصيل",
820590938,26030079,128.31,SAR,"2021-11-11 09:44:23.000000","تم التوصيل",
65780659,2602008,260.4,SAR,"2020-05-03 07:15:44.000000","تم الشحن",
499709153,26017094,115.56,SAR,"2021-11-11 00:27:15.000000","تم التوصيل",
2095884898,26015431,127,SAR,"2021-11-10 23:54:28.000000","تم الشحن",
1598570359,26014932,694.5,SAR,"2021-11-10 23:44:13.000000","تم الشحن",
622596372,26006961,204.7,SAR,"2021-11-10 21:08:39.000000","تم الشحن",
934214865,26006902,237.01,SAR,"2021-11-10 21:07:22.000000","تم الشحن",
199667246,2600587,136.5,SAR,"2020-05-03 05:30:39.000000","تم الشحن",
1600370390,2600563,300.01,SAR,"2020-05-03 05:31:49.000000","تم الشحن",
565956558,2600299,199,SAR,"2020-05-03 05:22:09.000000",ملغي,
2140693053,26000282,68,SAR,"2021-11-10 19:04:05.000000","تم التوصيل",
1504113341,2599706,661.96,SAR,"2020-05-03 04:55:11.000000","تم الشحن",
283043682,2599367,136.5,SAR,"2020-05-03 04:32:10.000000","تم الشحن",
1648527877,25992098,227.11,SAR,"2021-11-10 16:04:56.000000","تم الشحن",
1184844859,25992096,120.06,SAR,"2021-11-10 16:04:55.000000","تم التوصيل",
279653219,25990344,102.76,SAR,"2021-11-10 15:21:34.000000","تم الشحن",
589557601,25989830,231.68,SAR,"2021-11-10 15:09:11.000000","تم التوصيل",
534405038,25984267,1436.8,SAR,"2021-11-11 14:31:03.000000","تم التوصيل",
1821765904,25981365,141.92,SAR,"2021-11-10 11:27:10.000000","تم التوصيل",
1239510871,2598132,150,SAR,"2020-05-03 03:36:27.000000","تم الشحن",
1282084589,25980746,64.64,SAR,"2021-11-10 11:07:33.000000","تم الشحن",
346802667,25980496,163.41,SAR,"2021-11-10 10:58:56.000000","تم التوصيل",
1354809614,25979819,110.16,SAR,"2021-11-10 10:35:14.000000","تم التوصيل",
1043533958,2597923,150,SAR,"2020-05-03 03:28:37.000000","تم الشحن",
1707330869,25979026,435.38,SAR,"2021-11-10 10:05:26.000000","تم التوصيل",
468316793,25978846,120.06,SAR,"2021-11-10 09:58:37.000000","تم الشحن",
1887487593,2597838,199,SAR,"2020-05-03 03:25:55.000000",ملغي,
549538493,25977626,208.51,SAR,"2021-11-10 09:08:03.000000","تم الشحن",
1457170315,2596912,420.9,SAR,"2020-05-03 02:45:55.000000",ملغي,
502168232,2596877,397.99,SAR,"2020-05-03 02:40:43.000000","تم الشحن",
2031203010,25968231,120.06,SAR,"2021-11-10 01:41:07.000000","تم الشحن",
855278870,2596787,199,SAR,"2020-05-03 02:36:47.000000","تم الشحن",
1826022902,2596691,226.65,SAR,"2020-05-03 02:32:27.000000","تم الشحن",
947664294,2596611,228.9,SAR,"2020-05-03 02:33:57.000000","تم الشحن",
2042434593,2596230,150,SAR,"2020-05-03 02:12:25.000000","تم الشحن",
444776040,2596045,150,SAR,"2020-05-03 02:08:23.000000",ملغي,
164216926,25959675,376.21,SAR,"2021-11-09 23:11:35.000000","تم الشحن",
436385027,25959080,120.06,SAR,"2021-11-09 22:27:39.000000","تم الشحن",
1469171719,2595748,243.45,SAR,"2020-05-03 01:57:07.000000",ملغي,
1653234731,2595728,516.6,SAR,"2020-05-03 01:52:29.000000","تم الشحن",
1148298236,2595673,150,SAR,"2020-05-03 01:50:03.000000","تم الشحن",
2123254884,2595521,199,SAR,"2020-05-03 01:44:00.000000","تم الشحن",
1134129208,25954973,72.54,SAR,"2021-11-09 21:11:09.000000","تم الشحن",
846379495,25954884,159.95,SAR,"2021-11-09 21:09:54.000000","تم الشحن",
235582522,25953439,127.76,SAR,"2021-11-09 20:43:03.000000","تم الشحن",
1346555186,25953175,1513.9,SAR,"2021-11-09 20:43:47.000000","تم التوصيل",
253288945,25952342,120.06,SAR,"2021-11-09 20:23:06.000000","تم الشحن",
1023547576,25948701,120.06,SAR,"2021-11-09 19:17:21.000000","تم التوصيل",
2033663369,25943086,308.17,SAR,"2021-11-09 17:22:37.000000","جاري التوصيل",
879108859,259424,171,SAR,"2019-04-20 17:35:59.000000","تم الشحن",
1203411282,25942007,194.3,SAR,"2021-11-09 16:59:00.000000","تم التوصيل",
53130494,25938011,458.1,SAR,"2021-11-09 15:29:32.000000","تم الشحن",
222663745,25935334,216.11,SAR,"2021-11-09 14:32:23.000000","تم الشحن",
178365024,25931973,157.1,SAR,"2021-11-09 13:20:15.000000","تم التوصيل",
816721097,25931118,0,SAR,"2021-11-09 13:06:33.000000","تم التوصيل",
2010627418,25930751,336.01,SAR,"2021-11-09 12:58:39.000000","تم الشحن",
1920115304,25929933,95.34,SAR,"2021-11-09 12:39:21.000000","تم التوصيل",
1952291276,25929065,195.99,SAR,"2021-11-09 12:18:03.000000","تم الشحن",
1974117184,2592741,150,SAR,"2020-05-03 00:08:26.000000","تم الشحن",
433947521,25923110,120.06,SAR,"2021-11-09 09:41:13.000000","تم التوصيل",
389619597,25919018,132.93,SAR,"2021-11-09 07:12:10.000000","تم الشحن",
1587863758,2591851,199,SAR,"2020-05-02 23:40:04.000000","تم الشحن",
1053499821,2591754,210.9,SAR,"2020-05-02 23:36:44.000000","تم الشحن",
235063236,25915233,91.55,SAR,"2021-11-09 04:34:02.000000","تم التوصيل",
1003200742,259139,128,SAR,"2019-04-19 10:17:13.000000","تم الشحن",
1677592880,2591125,199,SAR,"2020-05-02 23:21:08.000000",ملغي,
504045880,25909661,210.45,SAR,"2021-11-09 01:51:12.000000","تم التوصيل",
792773193,2590702,267.25,SAR,"2020-05-02 23:07:28.000000",ملغي,
1078475084,2590185,397.99,SAR,"2020-05-02 22:54:13.000000",ملغي,
1408267520,25886117,214.11,SAR,"2021-11-08 18:45:37.000000","تم التوصيل",
1117293285,25885506,192.57,SAR,"2021-11-08 18:35:25.000000","تم التوصيل",
1385954272,25880389,143.3,SAR,"2021-11-08 17:04:33.000000","تم التوصيل",
1263399642,25880191,246.46,SAR,"2021-11-08 17:01:32.000000","تم التوصيل",
