id,reference_id,amount,currency,date,status,can_cancel
1505481441,9969478,203,SAR,"2021-01-18 04:02:13.000000","تم الشحن",
672928673,9969158,134,SAR,"2021-01-18 03:35:38.000000","تم الشحن",
1611203067,9967200,157,SAR,"2021-01-18 01:40:52.000000","تم الشحن",
1185204302,996587,285,SAR,"2019-11-13 18:38:17.000000","تم الشحن",
931439419,996512,100,SAR,"2019-11-13 17:13:49.000000","تم الشحن",
1307978921,9964814,62.6,SAR,"2021-01-18 00:01:35.000000","تم الشحن",
1317901823,9963100,191.3,SAR,"2021-01-17 23:04:38.000000","تم التوصيل",
1657900511,9961084,2374.98,SAR,"2021-01-17 22:04:21.000000","تم الشحن",
1310709251,9959848,198.9,SAR,"2021-01-17 21:28:23.000000","تم التوصيل",
1838127352,995933,45,SAR,"2019-11-13 15:36:34.000000","تم الشحن",
433096844,9958953,138,SAR,"2021-01-17 21:02:20.000000","تم الشحن",
594515818,9957839,226,SAR,"2021-01-17 20:30:33.000000","تم الشحن",
694242283,9956432,172.9,SAR,"2021-01-17 19:51:31.000000","تم الشحن",
215913992,9950381,127,SAR,"2021-01-17 16:55:17.000000","تم التوصيل",
1724436291,9949416,1120.49,SAR,"2021-01-17 16:21:02.000000","تم التوصيل",
769293145,9948926,127,SAR,"2021-01-17 16:04:37.000000","تم الشحن",
1826591314,9948919,126,SAR,"2021-01-18 01:30:18.000000","تم التوصيل",
2000289594,9947551,74.55,SAR,"2021-01-17 15:19:10.000000","تم التوصيل",
1129615207,9942212,277,SAR,"2021-01-17 11:20:50.000000","تم الشحن",
330460014,9941451,984.02,SAR,"2021-01-17 10:36:04.000000","تم الشحن",
1465090772,9938033,482.11,SAR,"2021-01-17 05:28:36.000000","تم التوصيل",
223907664,9937909,347.5,SAR,"2021-01-17 05:16:40.000000","تم التوصيل",
1633559563,9937840,778.01,SAR,"2021-01-17 05:10:14.000000","تم الشحن",
942197470,9937531,288,SAR,"2021-01-17 04:36:53.000000","تم الشحن",
1095841636,9936833,748.64,SAR,"2021-01-17 03:47:51.000000","تم الشحن",
1424989237,9935250,526,SAR,"2021-01-17 02:27:25.000000","تم التوصيل",
474083690,9934799,517.01,SAR,"2021-01-17 02:06:16.000000","تم الشحن",
1598367843,9934792,370.2,SAR,"2021-01-17 02:05:39.000000","تم الشحن",
366884526,9934347,227,SAR,"2021-01-17 16:02:34.000000","تم التوصيل",
1602222067,993368,280,SAR,"2019-11-12 21:48:09.000000","تم الشحن",
1876802349,9929354,506.01,SAR,"2021-01-16 22:55:34.000000","تم الشحن",
1810712521,9929326,298.88,SAR,"2021-01-16 22:54:36.000000","تم الشحن",
840374964,9927697,498,SAR,"2021-01-16 22:03:44.000000","تم الشحن",
1553222022,9927459,1300.01,SAR,"2021-01-17 01:27:18.000000","تم الشحن",
171234218,9925903,264.54,SAR,"2021-01-16 21:04:39.000000","تم التوصيل",
9726184,9925197,289.95,SAR,"2021-01-16 20:41:16.000000","تم التوصيل",
809449300,9924593,264.54,SAR,"2021-01-16 20:20:28.000000","تم الشحن",
452348011,9924560,445.51,SAR,"2021-01-16 20:23:58.000000","تم الشحن",
1820000865,9924550,454.11,SAR,"2021-01-16 20:19:31.000000","تم الشحن",
1771889283,9923880,243.75,SAR,"2021-01-16 19:55:50.000000","تم الشحن",
615455942,9922659,55.6,SAR,"2021-01-16 19:15:39.000000","تم التوصيل",
1720697067,9922384,478.01,SAR,"2021-01-16 19:06:44.000000","تم الشحن",
1174984908,9922153,326.45,SAR,"2021-01-16 18:58:57.000000","تم التوصيل",
2094531658,9921775,246.06,SAR,"2021-01-16 18:46:30.000000","تم التوصيل",
275772101,9921378,268,SAR,"2021-01-16 18:31:38.000000","تم الشحن",
1107077758,9921243,268,SAR,"2021-01-16 18:26:58.000000","تم الشحن",
45216294,9921155,246.06,SAR,"2021-01-16 18:23:46.000000","تم التوصيل",
1592175050,9916271,215.01,SAR,"2021-01-16 14:59:58.000000","تم الشحن",
2122035270,9913571,88,SAR,"2021-01-16 12:36:29.000000","تم التوصيل",
893722689,9908710,118,SAR,"2021-01-16 17:53:13.000000","تم التوصيل",
890110726,9908643,198.88,SAR,"2021-01-16 03:39:55.000000","تم الشحن",
2009067374,9907659,157,SAR,"2021-01-16 02:34:58.000000","تم الشحن",
1080158309,990658,262,SAR,"2019-11-12 14:01:42.000000","تم الشحن",
493561293,9906282,117,SAR,"2021-01-16 01:26:03.000000","تم الشحن",
1925230758,9905155,88,SAR,"2021-01-16 00:37:16.000000","تم الشحن",
1302229428,9901329,249,SAR,"2021-01-15 22:00:55.000000","تم الشحن",
